time_sent,time_received,time_elapsed
2023-04-24 21:48:08.685285,2023-04-24 21:48:08.688729,3.444
2023-04-24 21:48:08.687238,2023-04-24 21:48:08.689706,2.468
2023-04-24 21:48:08.688729,2023-04-24 21:48:08.691658,2.929
2023-04-24 21:48:08.690681,2023-04-24 21:48:08.693613,2.932
2023-04-24 21:48:08.692635,2023-04-24 21:48:08.695564,2.929
2023-04-24 21:48:08.694587,2023-04-24 21:48:08.696541,1.954
2023-04-24 21:48:08.695564,2023-04-24 21:48:08.719977,24.413
2023-04-24 21:48:08.697519,2023-04-24 21:48:08.722906,25.387
2023-04-24 21:48:08.721930,2023-04-24 21:48:08.724859,2.929
2023-04-24 21:48:08.723883,2023-04-24 21:48:08.726814,2.931
2023-04-24 21:48:08.725838,2023-04-24 21:48:08.729742,3.904
2023-04-24 21:48:08.727790,2023-04-24 21:48:08.734626,6.836
2023-04-24 21:48:08.734626,2023-04-24 21:48:08.738532,3.906
2023-04-24 21:48:08.731696,2023-04-24 21:48:08.740484,8.788
2023-04-24 21:48:08.739506,2023-04-24 21:48:08.742436,2.93
2023-04-24 21:48:08.741459,2023-04-24 21:48:08.743413,1.954
2023-04-24 21:48:08.742436,2023-04-24 21:48:08.745366,2.93
2023-04-24 21:48:08.744390,2023-04-24 21:48:08.747321,2.931
2023-04-24 21:48:08.746342,2023-04-24 21:48:08.749272,2.93
2023-04-24 21:48:08.748296,2023-04-24 21:48:08.752201,3.905
2023-04-24 21:48:08.750248,2023-04-24 21:48:08.753179,2.931
2023-04-24 21:48:08.752201,2023-04-24 21:48:08.756108,3.907
2023-04-24 21:48:08.754154,2023-04-24 21:48:08.758061,3.907
2023-04-24 21:48:08.757083,2023-04-24 21:48:08.760013,2.93
2023-04-24 21:48:08.758061,2023-04-24 21:48:08.760990,2.929
2023-04-24 21:48:08.760013,2023-04-24 21:48:08.762943,2.93
2023-04-24 21:48:08.761967,2023-04-24 21:48:08.765873,3.906
2023-04-24 21:48:08.763918,2023-04-24 21:48:08.767827,3.909
2023-04-24 21:48:08.766848,2023-04-24 21:48:08.768801,1.953
2023-04-24 21:48:08.767827,2023-04-24 21:48:08.770756,2.929
2023-04-24 21:48:08.769778,2023-04-24 21:48:08.772707,2.929
2023-04-24 21:48:08.771731,2023-04-24 21:48:08.773685,1.954
2023-04-24 21:48:08.773685,2023-04-24 21:48:08.775638,1.953
2023-04-24 21:48:08.774660,2023-04-24 21:48:08.777590,2.93
2023-04-24 21:48:08.776614,2023-04-24 21:48:08.779542,2.928
2023-04-24 21:48:08.777590,2023-04-24 21:48:08.781499,3.909
2023-04-24 21:48:08.779542,2023-04-24 21:48:08.783449,3.907
2023-04-24 21:48:08.781499,2023-04-24 21:48:08.785401,3.902
2023-04-24 21:48:08.783449,2023-04-24 21:48:08.786894,3.445
2023-04-24 21:48:08.785935,2023-04-24 21:48:08.788847,2.912
2023-04-24 21:48:08.787871,2023-04-24 21:48:08.790800,2.929
2023-04-24 21:48:08.788847,2023-04-24 21:48:08.792752,3.905
2023-04-24 21:48:08.790800,2023-04-24 21:48:08.793729,2.929
2023-04-24 21:48:08.792752,2023-04-24 21:48:08.795683,2.931
2023-04-24 21:48:08.794706,2023-04-24 21:48:08.797639,2.933
2023-04-24 21:48:08.795683,2023-04-24 21:48:08.799591,3.908
2023-04-24 21:48:08.797639,2023-04-24 21:48:08.801542,3.903
2023-04-24 21:48:08.800566,2023-04-24 21:48:08.803497,2.931
2023-04-24 21:48:08.801542,2023-04-24 21:48:08.804471,2.929
